title,party,view,value,body
Health Care,Liberal ,increase funding,1,"Liberals have promised to take ""critical next steps"" toward a national pharmacare program but offer few details. The government signed a health-care funding agreement with the provinces and territories, promising a three per cent annual health transfer increase with more funding for mental health, addictions and home care programs. They plan to double the child disability benefit and expand access to medical assistance in dying."
Health Care,Conservative ,increase funding,1,"Conservatives have also pledged to increase health transfer payments by at least three per cent annually and uphold other parts of the health accord. They’ve dismissed pharmacare, instead focusing on people not covered provincially or at work. The party has promised $1.5 billion to buy more MRI and CT machines, expand eligibility for the disability tax credit and develop a national autism strategy."
Health Care,New Democrat ,increase funding,1,"New Democrats want to expand the current model to include mental health, dental, eye and hearing coverage. They propose a “pharmacare for all” plan, covering Health Canada-approved drugs, promising $10 billion to start implementing it next year. The party wants to loosen restrictions on medical assistance in dying and create a national autism strategy. It also pledges legislation to regulate natural health products."
Health Care,Bloc Québécois ,increase funding,0,"The party has warned Ottawa that Quebec needs more money if a national pharmacare program is to be implemented. The Bloc also argues Quebec should be compensated for the cost of drugs, which, according to the party, will go up significantly if and when the new North American free trade deal is enacted."
Health Care,Green ,increase funding,1,"Greens promise to boost funding to train doctors and nurses and expand midwifery programs. They want to extend health care coverage to include universal pharmacare plus dental care for low-income Canadians. The party also says every Canadian should have the right to a “living will” to limit or deny medical treatment. To address the opioid crisis, the party would decriminalize all drug possession."
Health Care,People's Party ,increase funding,-1,"The party claims there’s too much federal meddling in health care. It’s proposing making provinces and territories fully responsible for funding and managing health services. To do that, it would replace the federal health transfer with tax points, allowing provinces to raise their own money. Leader Maxime Bernier also wants more options for private healthcare."
Health Care,Liberal ,expand coverage,1,"Liberals have promised to take ""critical next steps"" toward a national pharmacare program but offer few details. The government signed a health-care funding agreement with the provinces and territories, promising a three per cent annual health transfer increase with more funding for mental health, addictions and home care programs. They plan to double the child disability benefit and expand access to medical assistance in dying."
Health Care,Conservative ,expand coverage,0.5,"Conservatives have also pledged to increase health transfer payments by at least three per cent annually and uphold other parts of the health accord. They’ve dismissed pharmacare, instead focusing on people not covered provincially or at work. The party has promised $1.5 billion to buy more MRI and CT machines, expand eligibility for the disability tax credit and develop a national autism strategy."
Health Care,New Democrat ,expand coverage,1,"New Democrats want to expand the current model to include mental health, dental, eye and hearing coverage. They propose a “pharmacare for all” plan, covering Health Canada-approved drugs, promising $10 billion to start implementing it next year. The party wants to loosen restrictions on medical assistance in dying and create a national autism strategy. It also pledges legislation to regulate natural health products."
Health Care,Bloc Québécois ,expand coverage,0,"The party has warned Ottawa that Quebec needs more money if a national pharmacare program is to be implemented. The Bloc also argues Quebec should be compensated for the cost of drugs, which, according to the party, will go up significantly if and when the new North American free trade deal is enacted."
Health Care,Green ,expand coverage,1,"Greens promise to boost funding to train doctors and nurses and expand midwifery programs. They want to extend health care coverage to include universal pharmacare plus dental care for low-income Canadians. The party also says every Canadian should have the right to a “living will” to limit or deny medical treatment. To address the opioid crisis, the party would decriminalize all drug possession."
Health Care,People's Party ,expand coverage,-1,"The party claims there’s too much federal meddling in health care. It’s proposing making provinces and territories fully responsible for funding and managing health services. To do that, it would replace the federal health transfer with tax points, allowing provinces to raise their own money. Leader Maxime Bernier also wants more options for private healthcare."
Housing,Liberal ,affordable homes ,1,"Liberals want to build 100,000 affordable homes over a decade and offer first-time home-buyer subsidies of 10 per cent on new home purchases and 5 per cent on resales — with restrictions. They would loosen restrictions in expensive markets and put a surtax on absentee foreign owners. They want to retrofit 1.5 million homes for energy efficiency and offer interest-free loans up to $40,000 to make houses weather-resilient."
Housing,Conservative ,affordable homes ,0,"Conservatives would ease regulations to get new homes built. The party would raise amortization limits to 30 years for CMHC-backed mortgages and change the mortgage “stress test” for first-time buyers. It would implement a 20 per cent green homes tax credit for up to $20,000 spent over two years to pay for energy-saving renovations, and promises a public inquiry examining real estate money laundering."
Housing,New Democrat ,affordable homes ,1,"New Democrats want to build 500,000 affordable housing units over 10 years; until then, they propose a rental subsidy. They want to scrap the federal GST/HST for those constructing new affordable units. The party would reintroduce 30-year terms for mortgages insured by the CMHC for first-time buyers and give low-interest loans to retrofit houses. It proposes a 15 per cent surtax on foreign buyers and doubling the home buyer’s tax credit to $1,500."
Housing,Bloc Québécois ,affordable homes ,0,The Bloc proposes allowing natural disaster victims be able to take money out of their RRSP without penalty or tax to renovate their home post-disaster. They would have to prove damage was caused by a climate change related event. It also wants more money for Quebec social housing but hasn’t provided a detailed plan for spending it.
Housing,Green ,affordable homes ,0.5,"The party proposes building 25,000 new affordable units and renovating 15,000 others every year for the next 10. It wants to legislate housing as a “legally protected fundamental human right for all Canadians” and appoint a minister of housing to oversee the National Housing Strategy. The party also wants more resources available for housing co-ops and to scrap the Liberals’ first-time home buyer incentive."
Housing,People's Party ,affordable homes ,0,The party has not released specific policy on this issue ⁠— but Leader Maxime Bernier has blamed high housing costs in Toronto and Vancouver on zoning regulations and high immigration levels.
Housing,Liberal ,first-time home-buyer aid,1,"Liberals want to build 100,000 affordable homes over a decade and offer first-time home-buyer subsidies of 10 per cent on new home purchases and 5 per cent on resales — with restrictions. They would loosen restrictions in expensive markets and put a surtax on absentee foreign owners. They want to retrofit 1.5 million homes for energy efficiency and offer interest-free loans up to $40,000 to make houses weather-resilient."
Housing,Conservative ,first-time home-buyer aid,0,"Conservatives would ease regulations to get new homes built. The party would raise amortization limits to 30 years for CMHC-backed mortgages and change the mortgage “stress test” for first-time buyers. It would implement a 20 per cent green homes tax credit for up to $20,000 spent over two years to pay for energy-saving renovations, and promises a public inquiry examining real estate money laundering."
Housing,New Democrat ,first-time home-buyer aid,0.5,"New Democrats want to build 500,000 affordable housing units over 10 years; until then, they propose a rental subsidy. They want to scrap the federal GST/HST for those constructing new affordable units. The party would reintroduce 30-year terms for mortgages insured by the CMHC for first-time buyers and give low-interest loans to retrofit houses. It proposes a 15 per cent surtax on foreign buyers and doubling the home buyer’s tax credit to $1,500."
Housing,Bloc Québécois ,first-time home-buyer aid,0,The Bloc proposes allowing natural disaster victims be able to take money out of their RRSP without penalty or tax to renovate their home post-disaster. They would have to prove damage was caused by a climate change related event. It also wants more money for Quebec social housing but hasn’t provided a detailed plan for spending it.
Housing,Green ,first-time home-buyer aid,-1,"The party proposes building 25,000 new affordable units and renovating 15,000 others every year for the next 10. It wants to legislate housing as a “legally protected fundamental human right for all Canadians” and appoint a minister of housing to oversee the National Housing Strategy. The party also wants more resources available for housing co-ops and to scrap the Liberals’ first-time home buyer incentive."
Housing,People's Party ,first-time home-buyer aid,0,The party has not released specific policy on this issue ⁠— but Leader Maxime Bernier has blamed high housing costs in Toronto and Vancouver on zoning regulations and high immigration levels.
Immigration,Liberal ,refugees acceptance,1,"Immigration has increased under the Liberals; 321,045 immigrants came in 2018 — the largest number since the First World War. The party hopes to bump that number to 350,000 by 2021. Liberal Immigration Minister Ahmed Hussen said he wants to accept more refugees, while the Liberal government has imposed measures to crack down on “asylum-shopping” and regulate immigration consultants."
Immigration,Conservative ,refugees acceptance,0,Conservatives haven’t said exactly how many immigrants they would accept each year. They have stressed the importance of “economic immigration” and prioritizing those facing “true persecution.” The party would allow employers to sponsor permanent residency applications. It promises to end illegal border crossings and would instead increase refugee screening and promote refugee private sponsorship.
Immigration,New Democrat ,refugees acceptance,0.5,"The NDP don’t cite a specific number when asked how many immigrants they would accept. The party has stressed the need to tackle applicant backlogs and prioritize family reunification. It promises to regulate the immigration consultant industry and get rid of the Safe Third Country agreement, which prevents migrants who made claims in the U.S. from making claims in Canada."
Immigration,Bloc Québécois ,refugees acceptance,-0.5,"The party says the Quebec National Assembly should decide how many immigrants and refugees the province accepts ⁠— not the federal government. It wants Quebec exempted from the Multiculturalism Act. Like the NDP, the party wants to scrap the Safe Third Country agreement and give Quebec veto powers over federal decisions to expel refugees."
Immigration,Green ,refugees acceptance,1,"Greens want to increase immigration to areas with unfilled job vacancies, but don’t cite targets for the number of people they would accept. They too want to get rid of the Safe Third Country agreement. The party also wants to start a discussion about climate refugees and wants them included as an official refugee category."
Immigration,People's Party ,refugees acceptance,-1,"The party believes current immigration levels are “unsustainable.” It suggests a drop in immigration, from 321,045 (the 2018 number) to between 100,000 and 150,000. It wants fewer refugees, too, and would rely instead on private sponsors. It promises to designate the entire border an official port of entry, fence off problem areas and send back those crossing illegally."
Immigration,Liberal ,increase immigrants flows,1,"Immigration has increased under the Liberals; 321,045 immigrants came in 2018 — the largest number since the First World War. The party hopes to bump that number to 350,000 by 2021. Liberal Immigration Minister Ahmed Hussen said he wants to accept more refugees, while the Liberal government has imposed measures to crack down on “asylum-shopping” and regulate immigration consultants."
Immigration,Conservative ,increase immigrants flows,0,Conservatives haven’t said exactly how many immigrants they would accept each year. They have stressed the importance of “economic immigration” and prioritizing those facing “true persecution.” The party would allow employers to sponsor permanent residency applications. It promises to end illegal border crossings and would instead increase refugee screening and promote refugee private sponsorship.
Immigration,New Democrat ,increase immigrants flows,0,"The NDP don’t cite a specific number when asked how many immigrants they would accept. The party has stressed the need to tackle applicant backlogs and prioritize family reunification. It promises to regulate the immigration consultant industry and get rid of the Safe Third Country agreement, which prevents migrants who made claims in the U.S. from making claims in Canada."
Immigration,Bloc Québécois ,increase immigrants flows,-0.5,"The party says the Quebec National Assembly should decide how many immigrants and refugees the province accepts ⁠— not the federal government. It wants Quebec exempted from the Multiculturalism Act. Like the NDP, the party wants to scrap the Safe Third Country agreement and give Quebec veto powers over federal decisions to expel refugees."
Immigration,Green ,increase immigrants flows,1,"Greens want to increase immigration to areas with unfilled job vacancies, but don’t cite targets for the number of people they would accept. They too want to get rid of the Safe Third Country agreement. The party also wants to start a discussion about climate refugees and wants them included as an official refugee category."
Immigration,People's Party ,increase immigrants flows,-1,"The party believes current immigration levels are “unsustainable.” It suggests a drop in immigration, from 321,045 (the 2018 number) to between 100,000 and 150,000. It wants fewer refugees, too, and would rely instead on private sponsors. It promises to designate the entire border an official port of entry, fence off problem areas and send back those crossing illegally."
Immigration,Liberal ,Safe Third Country agreement,0,"Immigration has increased under the Liberals; 321,045 immigrants came in 2018 — the largest number since the First World War. The party hopes to bump that number to 350,000 by 2021. Liberal Immigration Minister Ahmed Hussen said he wants to accept more refugees, while the Liberal government has imposed measures to crack down on “asylum-shopping” and regulate immigration consultants."
Immigration,Conservative ,Safe Third Country agreement,0.5,Conservatives haven’t said exactly how many immigrants they would accept each year. They have stressed the importance of “economic immigration” and prioritizing those facing “true persecution.” The party would allow employers to sponsor permanent residency applications. It promises to end illegal border crossings and would instead increase refugee screening and promote refugee private sponsorship.
Immigration,New Democrat ,Safe Third Country agreement,-1,"The NDP don’t cite a specific number when asked how many immigrants they would accept. The party has stressed the need to tackle applicant backlogs and prioritize family reunification. It promises to regulate the immigration consultant industry and get rid of the Safe Third Country agreement, which prevents migrants who made claims in the U.S. from making claims in Canada."
Immigration,Bloc Québécois ,Safe Third Country agreement,-0.5,"The party says the Quebec National Assembly should decide how many immigrants and refugees the province accepts ⁠— not the federal government. It wants Quebec exempted from the Multiculturalism Act. Like the NDP, the party wants to scrap the Safe Third Country agreement and give Quebec veto powers over federal decisions to expel refugees."
Immigration,Green ,Safe Third Country agreement,-1,"Greens want to increase immigration to areas with unfilled job vacancies, but don’t cite targets for the number of people they would accept. They too want to get rid of the Safe Third Country agreement. The party also wants to start a discussion about climate refugees and wants them included as an official refugee category."
Immigration,People's Party ,Safe Third Country agreement,0,"The party believes current immigration levels are “unsustainable.” It suggests a drop in immigration, from 321,045 (the 2018 number) to between 100,000 and 150,000. It wants fewer refugees, too, and would rely instead on private sponsors. It promises to designate the entire border an official port of entry, fence off problem areas and send back those crossing illegally."
Indigenous,Liberal ,Indian Act,0.5,Liberals have stressed their commitment to reconciliation while brushing off criticisms of their policies — including support for the Trans Mountain pipeline. They promise to fully implement the Indigenous Languages Act and the UN Declaration on the Rights of Indigenous Peoples and give at least five per cent of federal contracts to Indigenous-owned businesses. They are seeking judicial review of First Nation child welfare compensation.
Indigenous,Conservative ,Indian Act,0.5,"Leader Andrew Scheer has committed to a national action plan on MMIWG and is eager to work with Indigenous communities on developing energy resources. To do that, he would appoint a minister for “consulting Indigenous rights holders.” The party has also committed to review the Indian Act. Scheer supports the Liberals’ decision to seek judicial review of First Nation child welfare compensation."
Indigenous,New Democrat ,Indian Act,0,"The party wants to develop an action plan for reconciliation, based on the Truth and Reconciliation Commission’s report and the UN Declaration on the Rights of Indigenous Peoples. They would also create a national council for reconciliation. New Democrats promise to implement all recommendations from the MMIWG inquiry and lift all drinking water advisories by 2021."
Indigenous,Bloc Québécois ,Indian Act,0,The party has not released much policy on this issue. It does call itself an “ally of the First Peoples” and wants to fully implement the UN Declaration on the Rights of Indigenous Peoples.
Indigenous,Green ,Indian Act,-1.5,"Greens think the Indian Act is racist and want it dismantled. They would allow communities to opt out. The party wants to create a body to oversee claims and negotiations. They’ve promised more money for First Nations education and would implement all recommendations from the MMIWG inquiry, the Truth and Reconciliation Commission and the UN Declaration on the Rights of Indigenous Peoples."
Indigenous,People's Party ,Indian Act,0.5,Leader Maxime Bernier would explore ways to replace the Indian Act with a new legal framework. He suggests western pipelines would present Indigenous people with a “golden opportunity for economic development.” He also wants to look at ways to give Indigenous people individual property rights on reserve and bring clean drinking water to remote communities.
Indigenous,Liberal ,piplines operation,1,Liberals have stressed their commitment to reconciliation while brushing off criticisms of their policies — including support for the Trans Mountain pipeline. They promise to fully implement the Indigenous Languages Act and the UN Declaration on the Rights of Indigenous Peoples and give at least five per cent of federal contracts to Indigenous-owned businesses. They are seeking judicial review of First Nation child welfare compensation.
Indigenous,Conservative ,piplines operation,0,"Leader Andrew Scheer has committed to a national action plan on MMIWG and is eager to work with Indigenous communities on developing energy resources. To do that, he would appoint a minister for “consulting Indigenous rights holders.” The party has also committed to review the Indian Act. Scheer supports the Liberals’ decision to seek judicial review of First Nation child welfare compensation."
Indigenous,New Democrat ,piplines operation,0,"The party wants to develop an action plan for reconciliation, based on the Truth and Reconciliation Commission’s report and the UN Declaration on the Rights of Indigenous Peoples. They would also create a national council for reconciliation. New Democrats promise to implement all recommendations from the MMIWG inquiry and lift all drinking water advisories by 2021."
Indigenous,Bloc Québécois ,piplines operation,0,The party has not released much policy on this issue. It does call itself an “ally of the First Peoples” and wants to fully implement the UN Declaration on the Rights of Indigenous Peoples.
Indigenous,Green ,piplines operation,0,"Greens think the Indian Act is racist and want it dismantled. They would allow communities to opt out. The party wants to create a body to oversee claims and negotiations. They’ve promised more money for First Nations education and would implement all recommendations from the MMIWG inquiry, the Truth and Reconciliation Commission and the UN Declaration on the Rights of Indigenous Peoples."
Indigenous,People's Party ,piplines operation,1,Leader Maxime Bernier would explore ways to replace the Indian Act with a new legal framework. He suggests western pipelines would present Indigenous people with a “golden opportunity for economic development.” He also wants to look at ways to give Indigenous people individual property rights on reserve and bring clean drinking water to remote communities.
Indigenous,Liberal ,reconciliation,1,Liberals have stressed their commitment to reconciliation while brushing off criticisms of their policies — including support for the Trans Mountain pipeline. They promise to fully implement the Indigenous Languages Act and the UN Declaration on the Rights of Indigenous Peoples and give at least five per cent of federal contracts to Indigenous-owned businesses. They are seeking judicial review of First Nation child welfare compensation.
Indigenous,Conservative ,reconciliation,1,"Leader Andrew Scheer has committed to a national action plan on MMIWG and is eager to work with Indigenous communities on developing energy resources. To do that, he would appoint a minister for “consulting Indigenous rights holders.” The party has also committed to review the Indian Act. Scheer supports the Liberals’ decision to seek judicial review of First Nation child welfare compensation."
Indigenous,New Democrat ,reconciliation,1,"The party wants to develop an action plan for reconciliation, based on the Truth and Reconciliation Commission’s report and the UN Declaration on the Rights of Indigenous Peoples. They would also create a national council for reconciliation. New Democrats promise to implement all recommendations from the MMIWG inquiry and lift all drinking water advisories by 2021."
Indigenous,Bloc Québécois ,reconciliation,0,The party has not released much policy on this issue. It does call itself an “ally of the First Peoples” and wants to fully implement the UN Declaration on the Rights of Indigenous Peoples.
Indigenous,Green ,reconciliation,1.5,"Greens think the Indian Act is racist and want it dismantled. They would allow communities to opt out. The party wants to create a body to oversee claims and negotiations. They’ve promised more money for First Nations education and would implement all recommendations from the MMIWG inquiry, the Truth and Reconciliation Commission and the UN Declaration on the Rights of Indigenous Peoples."
Indigenous,People's Party ,reconciliation,0,Leader Maxime Bernier would explore ways to replace the Indian Act with a new legal framework. He suggests western pipelines would present Indigenous people with a “golden opportunity for economic development.” He also wants to look at ways to give Indigenous people individual property rights on reserve and bring clean drinking water to remote communities.
Jobs,Liberal ,minimum wage raise,1,"Like other parties, Liberals want to raise the federal minimum wage to $15 per hour. The party promises to create federal rules for those employed by ride-sharing and similar apps. It wants to extend Employment Insurance sick benefits from 15 to 26 weeks and ensure reliable benefits for seasonal workers. Liberals also want to create a Canada Training Benefit, to improve employee training."
Jobs,Conservative ,minimum wage raise,0,"Conservatives have promised to end foreign oil imports and get pipelines built, including the Trans Mountain, which they claim will create “tens of thousands” of jobs for oil workers. The party also wants to improve “credential recognition” to make it easier for immigrants to get jobs, if they have equivalent skills and rejig the temporary foreign workers program."
Jobs,New Democrat ,minimum wage raise,1,"New Democrats want to raise the federal minimum wage to $15 an hour. They support numerous EI changes including minimum payments of $1,200 a month, lowering the hours to qualify, longer benefit periods for seasonal workers and extending sick benefits from 15 to 50 weeks. The party wants to launch a national basic income pilot project and ban unpaid internships if they don’t count for school credit."
Jobs,Bloc Québécois ,minimum wage raise,0,The Bloc says it would work to keep head offices for large corporations in Quebec — and would offer a remediation agreement to SNC-Lavalin. It opposes the sale of any Quebec business to a foreign company. The party proposes a tax credit for recent graduates or immigrants who move to rural areas for jobs and wants responsibility of the temporary foreign worker program transferred to Quebec.
Jobs,Green ,minimum wage raise,1,"The party wants to raise the federal minimum wage to $15 an hour and ban unpaid internships that aren’t for school credits. It wants to cancel the temporary foreign worker program and implement a guaranteed livable income. The party has also proposed a robot tax, which would force companies to pay a tax when they replace an employee with a machine."
Jobs,People's Party ,minimum wage raise,0,"The party has not released a policy on this issue, but claims getting rid of supply management would create “thousands of jobs.”"
Jobs,Liberal ,increase worker's benefits,1,"Like other parties, Liberals want to raise the federal minimum wage to $15 per hour. The party promises to create federal rules for those employed by ride-sharing and similar apps. It wants to extend Employment Insurance sick benefits from 15 to 26 weeks and ensure reliable benefits for seasonal workers. Liberals also want to create a Canada Training Benefit, to improve employee training."
Jobs,Conservative ,increase worker's benefits,0,"Conservatives have promised to end foreign oil imports and get pipelines built, including the Trans Mountain, which they claim will create “tens of thousands” of jobs for oil workers. The party also wants to improve “credential recognition” to make it easier for immigrants to get jobs, if they have equivalent skills and rejig the temporary foreign workers program."
Jobs,New Democrat ,increase worker's benefits,0.5,"New Democrats want to raise the federal minimum wage to $15 an hour. They support numerous EI changes including minimum payments of $1,200 a month, lowering the hours to qualify, longer benefit periods for seasonal workers and extending sick benefits from 15 to 50 weeks. The party wants to launch a national basic income pilot project and ban unpaid internships if they don’t count for school credit."
Jobs,Bloc Québécois ,increase worker's benefits,0,The Bloc says it would work to keep head offices for large corporations in Quebec — and would offer a remediation agreement to SNC-Lavalin. It opposes the sale of any Quebec business to a foreign company. The party proposes a tax credit for recent graduates or immigrants who move to rural areas for jobs and wants responsibility of the temporary foreign worker program transferred to Quebec.
Jobs,Green ,increase worker's benefits,1,"The party wants to raise the federal minimum wage to $15 an hour and ban unpaid internships that aren’t for school credits. It wants to cancel the temporary foreign worker program and implement a guaranteed livable income. The party has also proposed a robot tax, which would force companies to pay a tax when they replace an employee with a machine."
Jobs,People's Party ,increase worker's benefits,0,"The party has not released a policy on this issue, but claims getting rid of supply management would create “thousands of jobs.”"
Jobs,Liberal ,immigrant workers assistant ,0,"Like other parties, Liberals want to raise the federal minimum wage to $15 per hour. The party promises to create federal rules for those employed by ride-sharing and similar apps. It wants to extend Employment Insurance sick benefits from 15 to 26 weeks and ensure reliable benefits for seasonal workers. Liberals also want to create a Canada Training Benefit, to improve employee training."
Jobs,Conservative ,immigrant workers assistant ,1,"Conservatives have promised to end foreign oil imports and get pipelines built, including the Trans Mountain, which they claim will create “tens of thousands” of jobs for oil workers. The party also wants to improve “credential recognition” to make it easier for immigrants to get jobs, if they have equivalent skills and rejig the temporary foreign workers program."
Jobs,New Democrat ,immigrant workers assistant ,0,"New Democrats want to raise the federal minimum wage to $15 an hour. They support numerous EI changes including minimum payments of $1,200 a month, lowering the hours to qualify, longer benefit periods for seasonal workers and extending sick benefits from 15 to 50 weeks. The party wants to launch a national basic income pilot project and ban unpaid internships if they don’t count for school credit."
Jobs,Bloc Québécois ,immigrant workers assistant ,0.5,The Bloc says it would work to keep head offices for large corporations in Quebec — and would offer a remediation agreement to SNC-Lavalin. It opposes the sale of any Quebec business to a foreign company. The party proposes a tax credit for recent graduates or immigrants who move to rural areas for jobs and wants responsibility of the temporary foreign worker program transferred to Quebec.
Jobs,Green ,immigrant workers assistant ,1,"The party wants to raise the federal minimum wage to $15 an hour and ban unpaid internships that aren’t for school credits. It wants to cancel the temporary foreign worker program and implement a guaranteed livable income. The party has also proposed a robot tax, which would force companies to pay a tax when they replace an employee with a machine."
Jobs,People's Party ,immigrant workers assistant ,0,"The party has not released a policy on this issue, but claims getting rid of supply management would create “thousands of jobs.”"
Manufacturing,Liberal ,innovation funding,1,Liberals handed out chunks of the $1.33 billion they raised from retaliatory tariffs on the U.S. to the steel and aluminium sectors across Canada. They also dished out money through their Strategic Innovation Fund. They would cut taxes by 50 per cent for companies behind zero-emission technology or products. Trudeau has called for a national manufacturing strategy but it hasn’t materialized.
Manufacturing,Conservative ,innovation funding,0,"The party hasn’t made many announcements about manufacturing yet. At a 2018 event, Leader Andrew Scheer said he would continue to support manufacturing in southern Ontario through the FedDev Ontario program and a federal auto-sector investment fund. More details are expected during the campaign."
Manufacturing,New Democrat ,innovation funding,1.5,New Democrats have long called for a national auto strategy which they say would include $300 million for “innovation.” It wants a national industrial strategy to build a “low-carbon manufacturing economy” and require infrastructure projects use Canadian-made steel and aluminum.
Manufacturing,Bloc Québécois ,innovation funding,0,The party has not released a policy on this issue but it has advocated for a program to help out meat producers in response to the Chinese ban on Canadian pork and beef.
Manufacturing,Green ,innovation funding,0,"The Greens are focused on increasing manufacturing in green industries. The party hopes to create “thousands” of jobs in wind turbines, solar panels and other green industries. They want to steer all manufacturing to “100 per cent sustainable processes and practices.” The party would provide incentives to those manufacturing electric and hybrid vehicles."
Manufacturing,People's Party ,innovation funding,0,The party has not released a policy on this issue.
Manufacturing,Liberal ,business subsidy,1,Liberals handed out chunks of the $1.33 billion they raised from retaliatory tariffs on the U.S. to the steel and aluminium sectors across Canada. They also dished out money through their Strategic Innovation Fund. They would cut taxes by 50 per cent for companies behind zero-emission technology or products. Trudeau has called for a national manufacturing strategy but it hasn’t materialized.
Manufacturing,Conservative ,business subsidy,0,"The party hasn’t made many announcements about manufacturing yet. At a 2018 event, Leader Andrew Scheer said he would continue to support manufacturing in southern Ontario through the FedDev Ontario program and a federal auto-sector investment fund. More details are expected during the campaign."
Manufacturing,New Democrat ,business subsidy,0,New Democrats have long called for a national auto strategy which they say would include $300 million for “innovation.” It wants a national industrial strategy to build a “low-carbon manufacturing economy” and require infrastructure projects use Canadian-made steel and aluminum.
Manufacturing,Bloc Québécois ,business subsidy,0.5,The party has not released a policy on this issue but it has advocated for a program to help out meat producers in response to the Chinese ban on Canadian pork and beef.
Manufacturing,Green ,business subsidy,0.5,"The Greens are focused on increasing manufacturing in green industries. The party hopes to create “thousands” of jobs in wind turbines, solar panels and other green industries. They want to steer all manufacturing to “100 per cent sustainable processes and practices.” The party would provide incentives to those manufacturing electric and hybrid vehicles."
Manufacturing,People's Party ,business subsidy,0,The party has not released a policy on this issue.
NAFTA,Liberal ,new deal,1,"Liberals gave up some concessions on greater access to Canadian dairy, chicken and egg markets, but were ultimately able to strike a new NAFTA deal with the U.S., something they are very proud of. But it has yet to be ratified by U.S. lawmakers. Liberals know the deal is not perfect, but don’t want to reopen it for fear of losing aspects of the deal they fought hard to keep."
NAFTA,Conservative ,new deal,-1,"Conservatives were quick to criticize the Liberals when they struck the deal, arguing it was worse for Canadians than the old one. They specifically complained about its impact on softwood lumber and dairy. They’ve even released attack ads on it. But if elected, they wouldn’t re-open the agreement."
NAFTA,New Democrat ,new deal,-0.5,"New Democrats don’t think the deal is good enough for Canadians. They are in favour of changes and hope they can be approved by the U.S. Congress. They are worried about increased drug costs, a concern they share with Democrats in the U.S."
NAFTA,Bloc Québécois ,new deal,-1,To say the Bloc were upset with the new deal would be an understatement; the party called it the “worst possible agreement.” It was outraged by the impact on supply management and accused Liberals of using Quebec’s dairy farmers as a “bargaining chip.” The party wants to introduce a bill to prevent cuts to supply management in future talks.
NAFTA,Green ,new deal,0.5,"Leader Elizabeth May has called for NAFTA renegotiations for some time — it was a key theme of her speech when she won her party’s leadership in 2006. She congratulated the negotiation team for striking a new deal. However, she said she feels torn by some aspects of it and worries about its impact on supply management and drug costs."
NAFTA,People's Party ,new deal,-1.5,Leader Maxime Bernier criticized the negotiation team for acting like “amateurs.” He said he was happy to see supply management come up during the negotiations but was disappointed that it wasn’t eradicated entirely.
Pipelines,Liberal ,new pipeline project,0.5,"For Liberals and pipelines, it’s pick and choose. They support Line 3, Keystone XL, the massive LNG project running to B.C.’s coast and the Trans Mountain pipeline extension, which they bought for $4.5 billion. But they cancelled the Northern Gateway pipeline and changed the rules for the Energy East pipeline, leading to the project’s abandonment."
Pipelines,Conservative ,new pipeline project,1,"The Conservatives want to expand Canada’s oil and gas sector and have accused Liberals of stalling Trans Mountain. Leader Andrew Scheer said he would use constitutional powers to declare construction of pipelines to be in the national interest, a move he argues would get them built faster. He also would overturn recent legislation restricting the movement of oil tankers in northern B.C."
Pipelines,New Democrat ,new pipeline project,-1,"Leader Jagmeet Singh has strongly opposed the Trans Mountain project. But his reversal over the liquefied natural gas project in B.C. has drawn ridicule. He previously supported the project, but backed down in May. He still won’t say whether he supports it, telling reporters the future of energy does not include fracking or fossil fuels. He would give provinces veto power over national infrastructure projects that run through them, including pipelines."
Pipelines,Bloc Québécois ,new pipeline project,-1,"The party is against new pipelines — especially Energy East, the proposed pipeline that would have run through Quebec. TransCanada cancelled it in 2017, after stiff protests and a federal change in the approval process. It wants Quebec to have a veto over any pipeline that would run through the province and for the government to sell off Trans Mountain."
Pipelines,Green ,new pipeline project,-1,"Leader Elizabeth May would not approve any new pipeline project and opposes any pipeline carrying diluted bitumen. She would also cancel Trans Mountain — and was even arrested while protesting the project. Her party wants Canada off oil by 2050. Until then, the party wants to stop imports of foreign oil."
Pipelines,People's Party ,new pipeline project,1,"The party strongly supports building pipelines and, like the Conservatives, would use constitutional powers to declare pipeline building to be in the national interest. Leader Maxime Bernier has said he would be willing to use the Constitution to “impose a pipeline in [his] own province of Quebec” — a move many Quebec politicians reject."
Seniors,Liberal ,Increase Old Age Security (OAS),1,Liberals are promising to boost Old Age Security at age 75 by 10 per cent and increase the Canada Pension Plan by 25 per cent for widows and widowers. They haven’t said whether this would translate to higher premiums to cover the cost. They also want to adjust the Criminal Code with new penalties for elder abuse and to collect better data on how widespread it is.
Seniors,Conservative ,Increase Old Age Security (OAS),0.5,"The party has promised to increase the Age Tax Credit by $1,000, available to seniors making less than $87,750. It also promises to keep old age security at 65, a diversion from Stephen Harper’s stance. Conservatives would make federally regulated companies disclose the solvency of their pension funds and allow for transfers from one pension plan to a “more successful” one."
Seniors,New Democrat ,Increase Old Age Security (OAS),0.5,"The party promises to create a national seniors strategy, which would include a strategy for dementia and a prevention plan for elder abuse. It proposes making the Caregiver Tax Credit refundable, to help those who look after seniors. New Democrats also pledge to make automatic enrollment in the Old Age Security and the Guaranteed Income Supplement retroactive."
